dir	path_in_images_prep	source	in_corpus	nline	staff	source_url
夜曲 歌曲类 钢琴伴奏谱__jianpucn-112766	images-prep/jay-chou/夜曲 歌曲类 钢琴伴奏谱__jianpucn-112766	jianpucn-112766	0	162	5	
夜曲-弹唱版-巴特尔__jianpucn-102923	images-prep/jay-chou/夜曲-弹唱版-巴特尔__jianpucn-102923	jianpucn-102923	0	143	5	
Amani （ C调指法原版编配）__jianpucn-457211	images-prep/jianpucn-beyond/Amani （ C调指法原版编配）__jianpucn-457211	jianpucn-457211	0	58	6	
Amani指弹 （ 吉他独奏 ）__jianpucn-457321	images-prep/jianpucn-beyond/Amani指弹 （ 吉他独奏 ）__jianpucn-457321	jianpucn-457321	0	16	6	
Amani（ 乐队金曲吉他组合弹唱）__jianpucn-228387	images-prep/jianpucn-beyond/Amani（ 乐队金曲吉他组合弹唱）__jianpucn-228387	jianpucn-228387	0	18	5	
Beyond《Amani》 简单版 吉他弹唱教学__jianpucn-435398	images-prep/jianpucn-beyond/Beyond《Amani》 简单版 吉他弹唱教学__jianpucn-435398	jianpucn-435398	0	60	6	
Beyond《不再犹豫》 简单版 吉他弹唱教学__jianpucn-435399	images-prep/jianpucn-beyond/Beyond《不再犹豫》 简单版 吉他弹唱教学__jianpucn-435399	jianpucn-435399	0	55	6	
《再见理想》 中级版 吉他教学（带教学视频）__jianpucn-452246	images-prep/jianpucn-beyond/《再见理想》 中级版 吉他教学（带教学视频）__jianpucn-452246	jianpucn-452246	0	74	6	
《再见理想》 初级版 吉他教学__jianpucn-452247	images-prep/jianpucn-beyond/《再见理想》 初级版 吉他教学__jianpucn-452247	jianpucn-452247	0	70	6	
《冷雨夜》 初级简单版 吉他弹唱教学__jianpucn-446015	images-prep/jianpucn-beyond/《冷雨夜》 初级简单版 吉他弹唱教学__jianpucn-446015	jianpucn-446015	0	70	6	
《喜欢你》 吉他教学__jianpucn-431306	images-prep/jianpucn-beyond/《喜欢你》 吉他教学__jianpucn-431306	jianpucn-431306	0	60	6	
《情人》 初级简单版 吉他弹唱教学__jianpucn-446053	images-prep/jianpucn-beyond/《情人》 初级简单版 吉他弹唱教学__jianpucn-446053	jianpucn-446053	0	63	6	
《海阔天空》一把吉他最强版__jianpucn-312254	images-prep/jianpucn-beyond/《海阔天空》一把吉他最强版__jianpucn-312254	jianpucn-312254	0	46	6	
不再犹豫（G调蓝莓吉他弹唱教学版）__jianpucn-405415	images-prep/jianpucn-beyond/不再犹豫（G调蓝莓吉他弹唱教学版）__jianpucn-405415	jianpucn-405415	0	70	6	
不可一世（ 乐队金曲吉他组合弹唱）__jianpucn-228571	images-prep/jianpucn-beyond/不可一世（ 乐队金曲吉他组合弹唱）__jianpucn-228571	jianpucn-228571	0	32	6	
你知道我的迷惘（一生音乐编配版）__jianpucn-417137	images-prep/jianpucn-beyond/你知道我的迷惘（一生音乐编配版）__jianpucn-417137	jianpucn-417137	0	63	6	
光辉岁月 单吉他版__jianpucn-215561	images-prep/jianpucn-beyond/光辉岁月 单吉他版__jianpucn-215561	jianpucn-215561	0	60	6	
光辉岁月 （ C调原版编配）__jianpucn-467673	images-prep/jianpucn-beyond/光辉岁月 （ C调原版编配）__jianpucn-467673	jianpucn-467673	0	62	6	
光辉岁月 （ C调编配）__jianpucn-457418	images-prep/jianpucn-beyond/光辉岁月 （ C调编配）__jianpucn-457418	jianpucn-457418	0	61	6	
光辉岁月(女生吉他弹唱)__jianpucn-412840	images-prep/jianpucn-beyond/光辉岁月(女生吉他弹唱)__jianpucn-412840	jianpucn-412840	0	189	6	
