file	title	source	proposed_tag	conf	evidence
101.txt	101	jianpucn-150657		0.0	jianpucn 站点没有流派分类(只有字数分类)
49-03-Overjoyed_-C-_固定调.txt	49-03-Overjoyed -C- 固定调	qupu123-359349	分类/记谱	0.0	qupu123 栏目 jipu(置信度不足)
49-07-Yesterday_-F-_首调.txt	49-07-Yesterday -F- 首调	qupu123-360948	分类/记谱	0.0	qupu123 栏目 jipu(置信度不足)
49-39-Hey_Jude_-F-_首调.txt	49-39-Hey Jude -F- 首调	qupu123-360774	分类/记谱	0.0	qupu123 栏目 jipu(置信度不足)
ANDY_歌曲类.txt	ANDY 歌曲类	jianpucn-64785		0.0	jianpucn 站点没有流派分类(只有字数分类)
ASK.txt	ASK	jianpucn-61257		0.0	jianpucn 站点没有流派分类(只有字数分类)
A_Mour.txt	A Mour	jianpucn-50291		0.0	jianpucn 站点没有流派分类(只有字数分类)
Amazing_grace.txt	Amazing grace	qupu123-353273	分类/记谱	0.0	qupu123 栏目 jipu(置信度不足)
Angel.txt	Angel	jianpucn-60926		0.0	jianpucn 站点没有流派分类(只有字数分类)
Beautiful_歌曲类.txt	Beautiful 歌曲类	jianpucn-64783		0.0	jianpucn 站点没有流派分类(只有字数分类)
Because_of_You.txt	Because_of_You	qupu123-378214	分类/外国歌曲	0.0	qupu123 栏目 waiguo(置信度不足)
Better_man_歌曲类.txt	Better man 歌曲类	jianpucn-64782		0.0	jianpucn 站点没有流派分类(只有字数分类)
Black欧谱斯.txt	Black欧谱斯	jianpucn-109480		0.0	jianpucn 站点没有流派分类(只有字数分类)
Blue_Berry_Hill_鸟饭树山.txt	Blue_Berry_Hill_鸟饭树山	qupu123-375493	分类/外国歌曲	0.0	qupu123 栏目 waiguo(置信度不足)
Danny_Boy（小野丽莎.txt	Danny Boy（小野丽莎	qupu123-318427	分类/记谱	0.0	qupu123 栏目 jipu(置信度不足)
Flying_To_The_Moon.txt	Flying To The Moon	jianpucn-60736		0.0	jianpucn 站点没有流派分类(只有字数分类)
Funny_Face_歌曲类.txt	Funny Face 歌曲类	jianpucn-64780		0.0	jianpucn 站点没有流派分类(只有字数分类)
Here_We_are.txt	Here We are	jianpucn-61281		0.0	jianpucn 站点没有流派分类(只有字数分类)
Hey!Lover.txt	Hey!Lover	jianpucn-60439		0.0	jianpucn 站点没有流派分类(只有字数分类)
Hey_Hah.txt	Hey Hah	jianpucn-58775		0.0	jianpucn 站点没有流派分类(只有字数分类)
Honey_Honey.txt	Honey Honey	jianpucn-437686		0.0	jianpucn 站点没有流派分类(只有字数分类)
K歌之王.txt	k歌之王	jianpujia-14936		0.0	jianpujia 页面分类需联网取(见 --fetch-jianpujia)
LEAVE_歌曲类.txt	LEAVE 歌曲类	jianpucn-64749		0.0	jianpucn 站点没有流派分类(只有字数分类)
Make_a_Wish.txt	Make a Wish	jianpucn-61289		0.0	jianpucn 站点没有流派分类(只有字数分类)
Moon_River.txt	Moon River	qupu123-270467	分类/外国歌曲	0.0	qupu123 栏目 waiguo(置信度不足)
My_Heart_Will_Go_On.txt	My Heart Will Go On	qupu123-270323	分类/外国歌曲	0.0	qupu123 栏目 waiguo(置信度不足)
OVER_THE_RAINBOW）.txt	OVER THE RAINBOW）	qupu123-39751		0.0	qupu123 站点没有流派分类(只有字数分类)
Piano.txt	Piano	jianpucn-61235		0.0	jianpucn 站点没有流派分类(只有字数分类)
Show_Up.txt	Show Up	jianpucn-58767		0.0	jianpucn 站点没有流派分类(只有字数分类)
Sometimes_love_just_aint_enough.txt	Sometimes love just aint enough	jianpucn-83450		0.0	jianpucn 站点没有流派分类(只有字数分类)
Sophia.txt	Sophia	jianpucn-61271		0.0	jianpucn 站点没有流派分类(只有字数分类)
Stefanie.txt	Stefanie	jianpucn-34741		0.0	jianpucn 站点没有流派分类(只有字数分类)
Super_Star.txt	Super Star	jianpucn-59329		0.0	jianpucn 站点没有流派分类(只有字数分类)
THE_MOMENT_歌曲类.txt	THE MOMENT 歌曲类	jianpucn-64727		0.0	jianpucn 站点没有流派分类(只有字数分类)
Take_Me_To_Your_Heart（吻别）.txt	Take Me To Your Heart（吻别）	qupu123-384518	分类/谱友上传	0.76	qupu123 栏目 puyou(https://www.qupu123.com/puyou/shangchuan/p384518.html)
The_Sound_of_Silence（.txt	The Sound of Silence（	qupu123-360185	分类/谱友上传	0.76	qupu123 栏目 puyou(https://www.qupu123.com/puyou/shangchuan/p360185.html)
This_is.txt	This is	jianpucn-61239		0.0	jianpucn 站点没有流派分类(只有字数分类)
Wake_UP.txt	Wake UP	jianpucn-60491		0.0	jianpucn 站点没有流派分类(只有字数分类)
We_will_get_there.txt	We will get there	jianpucn-63216		0.0	jianpucn 站点没有流派分类(只有字数分类)
《喝烧酒，吼秦腔》.txt	《喝烧酒，吼秦腔》	jianpucn-149513		0.0	jianpucn 站点没有流派分类(只有字数分类)
《想你,零点零一分》.txt	《想你,零点零一分》	jianpucn-130113		0.0	jianpucn 站点没有流派分类(只有字数分类)
《抱きしめて》.txt	《抱きしめて》	qupu123-377699	分类/外国歌曲	0.0	qupu123 栏目 waiguo(置信度不足)
《祖国为你唱支歌》.txt	《祖国为你唱支歌》	jianpucn-179377		0.0	jianpucn 站点没有流派分类(只有字数分类)
《蝶恋花_答李淑一》.txt	《蝶恋花 答李淑一》	jianpucn-284451		0.0	jianpucn 站点没有流派分类(只有字数分类)
【日】真夏の果実（盛夏的果实）.txt	【日】真夏の果実（盛夏的果实）	qupu123-323610	分类/记谱	0.0	qupu123 栏目 jipu(置信度不足)
一丝不挂.txt	一丝不挂	jianpucn-133511		0.0	jianpucn 站点没有流派分类(只有字数分类)
一个人.txt	一个人	jianpucn-86378		0.0	jianpucn 站点没有流派分类(只有字数分类)
一个爱上浪漫的人.txt	一个爱上浪漫的人	jianpucn-38545		0.0	jianpucn 站点没有流派分类(只有字数分类)
一切就在转眼之间（）.txt	一切就在转眼之间（）	qupu123-313619		0.0	qupu123 站点没有流派分类(只有字数分类)
一声叹息.txt	一声叹息	jianpucn-278123		0.0	jianpucn 站点没有流派分类(只有字数分类)
一夜长大.txt	一夜长大	jianpucn-312594		0.0	jianpucn 站点没有流派分类(只有字数分类)
一带一路歌.txt	一带一路歌	jianpucn-333386		0.0	jianpucn 站点没有流派分类(只有字数分类)
一带一路过我家.txt	一带一路过我家	qupu123-371313	分类/美声	0.87	qupu123 栏目 meisheng(https://www.qupu123.com/meisheng/qizi/p371313.html)
一念暖阳.txt	一念暖阳	jianpucn-475807		0.0	jianpucn 站点没有流派分类(只有字数分类)
一河冰川水.txt	一河冰川水	jianpucn-156886		0.0	jianpucn 站点没有流派分类(只有字数分类)
一点光一点亮.txt	一点光一点亮	jianpucn-89344		0.0	jianpucn 站点没有流派分类(只有字数分类)
一生只爱你（陈天明.txt	一生只爱你（陈天明	qupu123-335503		0.0	qupu123 站点没有流派分类(只有字数分类)
一生有多少个明天.txt	一生有多少个明天	qupu123-369991	分类/美声	0.87	qupu123 栏目 meisheng(https://www.qupu123.com/meisheng/bazi/p369991.html)
一百年.txt	一百年	jianpucn-208496		0.0	jianpucn 站点没有流派分类(只有字数分类)
一盏心灯.txt	一盏心灯	jianpucn-276279		0.0	jianpucn 站点没有流派分类(只有字数分类)
