file	title	site	source_url	suggested_tag	human_tag
101.txt	101	jianpucn	http://www.jianpu.cn/pu/15/150657.htm		
49-03-Overjoyed_-C-_固定调.txt	49-03-Overjoyed -C- 固定调	qupu123	https://www.qupu123.com/jipu/p359349.html	分类/记谱	
49-07-Yesterday_-F-_首调.txt	49-07-Yesterday -F- 首调	qupu123	https://www.qupu123.com/jipu/p360948.html	分类/记谱	
49-39-Hey_Jude_-F-_首调.txt	49-39-Hey Jude -F- 首调	qupu123	https://www.qupu123.com/jipu/p360774.html	分类/记谱	
ANDY_歌曲类.txt	ANDY 歌曲类	jianpucn	http://www.jianpu.cn/pu/64/64785.htm		
ASK.txt	ASK	jianpucn	http://www.jianpu.cn/pu/61/61257.htm		
A_Mour.txt	A Mour	jianpucn	http://www.jianpu.cn/pu/50/50291.htm		
Amazing_grace.txt	Amazing grace	qupu123	https://www.qupu123.com/jipu/p353273.html	分类/记谱	
Angel.txt	Angel	jianpucn	http://www.jianpu.cn/pu/60/60926.htm		
Beautiful_歌曲类.txt	Beautiful 歌曲类	jianpucn	http://www.jianpu.cn/pu/64/64783.htm		
Because_of_You.txt	Because_of_You	qupu123	https://www.qupu123.com/waiguo/jiuziyishang/p378214.html	分类/外国歌曲	
Better_man_歌曲类.txt	Better man 歌曲类	jianpucn	http://www.jianpu.cn/pu/64/64782.htm		
Black欧谱斯.txt	Black欧谱斯	jianpucn	http://www.jianpu.cn/pu/10/109480.htm		
Blue_Berry_Hill_鸟饭树山.txt	Blue_Berry_Hill_鸟饭树山	qupu123	https://www.qupu123.com/waiguo/waiwen/p375493.html	分类/外国歌曲	
Danny_Boy（小野丽莎.txt	Danny Boy（小野丽莎	qupu123	https://www.qupu123.com/jipu/p318427.html	分类/记谱	
Flying_To_The_Moon.txt	Flying To The Moon	jianpucn	http://www.jianpu.cn/pu/60/60736.htm		
Funny_Face_歌曲类.txt	Funny Face 歌曲类	jianpucn	http://www.jianpu.cn/pu/64/64780.htm		
Here_We_are.txt	Here We are	jianpucn	http://www.jianpu.cn/pu/61/61281.htm		
Hey!Lover.txt	Hey!Lover	jianpucn	http://www.jianpu.cn/pu/60/60439.htm		
Hey_Hah.txt	Hey Hah	jianpucn	http://www.jianpu.cn/pu/58/58775.htm		
Honey_Honey.txt	Honey Honey	jianpucn	http://www.jianpu.cn/pu/43/437686.htm		
K歌之王.txt	k歌之王	jianpujia	https://www.jianpujia.com/jianpu/14936.html		
LEAVE_歌曲类.txt	LEAVE 歌曲类	jianpucn	http://www.jianpu.cn/pu/64/64749.htm		
Letting Go__qupu123-378232.txt	Letting Go	qupu123	https://www.qupu123.com/waiguo/jiuziyishang/p378232.html	分类/外国歌曲	
Make_a_Wish.txt	Make a Wish	jianpucn	http://www.jianpu.cn/pu/61/61289.htm		
Moon_River.txt	Moon River	qupu123	https://www.qupu123.com/waiguo/waiwen/p270467.html	分类/外国歌曲	
My_Heart_Will_Go_On.txt	My Heart Will Go On	qupu123	https://www.qupu123.com/waiguo/waiwen/p270323.html	分类/外国歌曲	
OVER_THE_RAINBOW）.txt	OVER THE RAINBOW）	qupu123			
Piano.txt	Piano	jianpucn	http://www.jianpu.cn/pu/61/61235.htm		
Show_Up.txt	Show Up	jianpucn	http://www.jianpu.cn/pu/58/58767.htm		
Sometimes_love_just_aint_enough.txt	Sometimes love just aint enough	jianpucn	http://www.jianpu.cn/pu/83/83450.htm		
Sophia.txt	Sophia	jianpucn	http://www.jianpu.cn/pu/61/61271.htm		
Stefanie.txt	Stefanie	jianpucn	http://www.jianpu.cn/pu/34/34741.htm		
Super_Star.txt	Super Star	jianpucn	http://www.jianpu.cn/pu/59/59329.htm		
THE_MOMENT_歌曲类.txt	THE MOMENT 歌曲类	jianpucn	http://www.jianpu.cn/pu/64/64727.htm		
This_is.txt	This is	jianpucn	http://www.jianpu.cn/pu/61/61239.htm		
Wake_UP.txt	Wake UP	jianpucn	http://www.jianpu.cn/pu/60/60491.htm		
We_will_get_there.txt	We will get there	jianpucn	http://www.jianpu.cn/pu/63/63216.htm		
qd1z_anthem.txt	青岛一中校歌				
《喝烧酒，吼秦腔》.txt	《喝烧酒，吼秦腔》	jianpucn	http://www.jianpu.cn/pu/14/149513.htm		
《想你,零点零一分》.txt	《想你,零点零一分》	jianpucn	http://www.jianpu.cn/pu/13/130113.htm		
《抱きしめて》.txt	《抱きしめて》	qupu123	https://www.qupu123.com/waiguo/qizi/p377699.html	分类/外国歌曲	
《祖国为你唱支歌》.txt	《祖国为你唱支歌》	jianpucn	http://www.jianpu.cn/pu/17/179377.htm		
《蝶恋花_答李淑一》.txt	《蝶恋花 答李淑一》	jianpucn	http://www.jianpu.cn/pu/28/284451.htm		
【日】真夏の果実（盛夏的果实）.txt	【日】真夏の果実（盛夏的果实）	qupu123	https://www.qupu123.com/jipu/p323610.html	分类/记谱	
一丝不挂.txt	一丝不挂	jianpucn	http://www.jianpu.cn/pu/13/133511.htm		
一个人.txt	一个人	jianpucn	http://www.jianpu.cn/pu/86/86378.htm		
一个爱上浪漫的人.txt	一个爱上浪漫的人	jianpucn	http://www.jianpu.cn/pu/38/38545.htm		
一切就在转眼之间（）.txt	一切就在转眼之间（）	qupu123			
一声叹息.txt	一声叹息	jianpucn	http://www.jianpu.cn/pu/27/278123.htm		
一夜长大.txt	一夜长大	jianpucn	http://www.jianpu.cn/pu/31/312594.htm		
一带一路歌.txt	一带一路歌	jianpucn	http://www.jianpu.cn/pu/33/333386.htm		
一念暖阳.txt	一念暖阳	jianpucn	http://www.jianpu.cn/pu/47/475807.htm		
一河冰川水.txt	一河冰川水	jianpucn	http://www.jianpu.cn/pu/15/156886.htm		
一点光一点亮.txt	一点光一点亮	jianpucn	http://www.jianpu.cn/pu/89/89344.htm		
一生只爱你（陈天明.txt	一生只爱你（陈天明	qupu123			
一百年.txt	一百年	jianpucn	http://www.jianpu.cn/pu/20/208496.htm		
一盏心灯.txt	一盏心灯	jianpucn	http://www.jianpu.cn/pu/27/276279.htm		
一荤一素.txt	一荤一素	qupu123	https://www.qupu123.com/jipu/p351637.html	分类/记谱	
一起看月亮.txt	一起看月亮	jianpucn	http://www.jianpu.cn/pu/15/158664.htm		
一起走过的日子.txt	一起走过的日子	qupu123	https://www.qupu123.com/jipu/p364116.html	分类/记谱	
一路上有你.txt	一路上有你	qupu123	https://www.qupu123.com/yuanchuang/p361869.html	分类/原创	
一路生花__qupu123-385863.txt	一路生花	qupu123	https://www.qupu123.com/jipu/p385863.html	分类/记谱	
一路生花__qupu123-397307.txt	一路生花	qupu123	https://www.qupu123.com/puyou/shangchuan/p397307.html	分类/谱友上传	
一路生花（二部合唱谱）__qupu123-396591.txt	一路生花	qupu123	https://www.qupu123.com/yuanchuang/p396591.html	分类/原创	
一路相伴.txt	一路相伴	jianpucn	http://www.jianpu.cn/pu/27/27476.htm		
一首情歌.txt	一首情歌	jianpucn	http://www.jianpu.cn/pu/89/89326.htm		
丁香花（袁浩.txt	丁香花（袁浩	qupu123	https://www.qupu123.com/yuanchuang/p336145.html	分类/原创	
万众仰望一帅星.txt	万众仰望一帅星	jianpucn	http://www.jianpu.cn/pu/29/291720.htm		
三寸日光.txt	三寸日光	jianpucn	http://www.jianpu.cn/pu/11/119560.htm		
三秦放歌.txt	三秦放歌	jianpucn	http://www.jianpu.cn/pu/19/191107.htm		
上一道坡下一道梁.txt	上一道坡下一道梁	jianpucn	http://www.jianpu.cn/pu/20/203319.htm		
上传《问楼兰》.txt	上传《问楼兰》	jianpucn	http://www.jianpu.cn/pu/15/150302.htm		
上学歌.txt	上学歌	qupu123	https://www.qupu123.com/jipu/p354511.html	分类/记谱	
上昆崙.txt	上昆崙	jianpucn	http://www.jianpu.cn/pu/22/223890.htm		
上春山.txt	上春山	qinyipu			
上林_十分红.txt	上林 十分红	jianpucn	http://www.jianpu.cn/pu/26/261176.htm		
