file	current_title	proposed_title	kind	accepted
Danny_Boy（小野丽莎.txt	Danny Boy（小野丽莎	Danny Boy	未闭合开括号	1
OVER_THE_RAINBOW）.txt	OVER THE RAINBOW）	OVER THE RAINBOW	多余闭括号	1
The_Sound_of_Silence（.txt	The Sound of Silence（	The Sound of Silence	未闭合开括号	1
《_郴_州_行_》_（张_也.txt	《 郴 州 行 》 （张 也	《 郴 州 行 》	未闭合开括号	1
【日】Lemon电视剧_非自然死亡_主题曲_ドラマ「アンナチュラ.txt	【日】Lemon电视剧_非自然死亡_主题曲_ドラマ「アンナチュラ	【日】Lemon电视剧_非自然死亡_主题曲_ドラマ	未闭合开括号	1
一切刚刚好（李健.txt	一切刚刚好（李健	一切刚刚好	未闭合开括号	1
一生只爱你（陈天明.txt	一生只爱你（陈天明	一生只爱你	未闭合开括号	1
丁香花（袁浩.txt	丁香花（袁浩	丁香花	未闭合开括号	1
世界之巅_（.txt	世界之巅 （	世界之巅	未闭合开括号	1
世界末日（.txt	世界末日（	世界末日	未闭合开括号	1
世纪中国梦（合唱.txt	世纪中国梦（合唱	世纪中国梦	未闭合开括号	1
东江之歌_（.txt	东江之歌 （	东江之歌	未闭合开括号	1
亲爱的你啊（三声部合唱简谱）__qupu123-393617.txt	亲爱的你啊（三声部合唱	亲爱的你啊	未闭合开括号	1
亲爱的你啊（二声部合唱简谱）__qupu123-391781.txt	亲爱的你啊（二声部合唱	亲爱的你啊	未闭合开括号	1
亲爱的爸爸（陆有良.txt	亲爱的爸爸（陆有良	亲爱的爸爸	未闭合开括号	1
亲爱的（刘德华.txt	亲爱的（刘德华	亲爱的	未闭合开括号	1
人民的好公仆（潺泉二胡.txt	人民的好公仆（潺泉二胡	人民的好公仆	未闭合开括号	1
今生难得有情人（郭峰.txt	今生难得有情人（郭峰	今生难得有情人	未闭合开括号	1
从开始到现在－冬日恋歌（高音.txt	从开始到现在－冬日恋歌（高音	从开始到现在－冬日恋歌	未闭合开括号	1
但愿岁月可回首（.txt	但愿岁月可回首（	但愿岁月可回首	未闭合开括号	1
你在我心中（.txt	你在我心中（	你在我心中	未闭合开括号	1
你是我心里最爱的最爱（.txt	你是我心里最爱的最爱（	你是我心里最爱的最爱	未闭合开括号	1
你是我的唯一（巴秀拉.txt	你是我的唯一（巴秀拉	你是我的唯一	未闭合开括号	1
倩女幽魂（陈晓东.txt	倩女幽魂（陈晓东	倩女幽魂	未闭合开括号	1
儿行千里母担忧（刘良智.txt	儿行千里母担忧（刘良智	儿行千里母担忧	未闭合开括号	1
其实（薛之谦 词曲）__qupu123-304211.txt	其实（薛之谦	其实	未闭合开括号	1
其实（薛之谦.txt	其实（薛之谦	其实	未闭合开括号	1
冰雪情（言寺.txt	冰雪情（言寺	冰雪情	未闭合开括号	1
凤凰于飞（连续剧《后宫甄嬛传》片尾曲.txt	凤凰于飞（连续剧《后宫甄嬛传》片尾曲	凤凰于飞	未闭合开括号	0
凤凰花季（韩红.txt	凤凰花季（韩红	凤凰花季	未闭合开括号	1
划龙船（周先海.txt	划龙船（周先海	划龙船	未闭合开括号	1
初吻（.txt	初吻（	初吻	未闭合开括号	1
勿忘父母恩（巴秀拉.txt	勿忘父母恩（巴秀拉	勿忘父母恩	未闭合开括号	1
北京_我爱你（张宏.txt	北京_我爱你（张宏	北京_我爱你	未闭合开括号	1
北大荒之恋（徐玉照.txt	北大荒之恋（徐玉照	北大荒之恋	未闭合开括号	1
南方姑娘（赵雷.txt	南方姑娘（赵雷	南方姑娘	未闭合开括号	1
博爱情怀（丁恩昌.txt	博爱情怀（丁恩昌	博爱情怀	未闭合开括号	1
友谊之歌（巴秀拉.txt	友谊之歌（巴秀拉	友谊之歌	未闭合开括号	1
只想让你抱抱我（.txt	只想让你抱抱我（	只想让你抱抱我	未闭合开括号	1
只是为了证明自己（.txt	只是为了证明自己（	只是为了证明自己	未闭合开括号	1
同学情（黄格省.txt	同学情（黄格省	同学情	未闭合开括号	1
吐鲁番的葡萄熟了（十大.txt	吐鲁番的葡萄熟了（十大	吐鲁番的葡萄熟了	未闭合开括号	1
向前冲（麦新.txt	向前冲（麦新	向前冲	未闭合开括号	1
向阳花（汪峰.txt	向阳花（汪峰	向阳花	未闭合开括号	1
听香（2017央视元宵晚会.txt	听香（2017央视元宵晚会	听香	未闭合开括号	1
告别军营(王宏伟.txt	告别军营(王宏伟	告别军营	未闭合开括号	1
