file	current_title	proposed_title	accepted	site	page_title
26_铺开一片蔚蓝.txt	26_铺开一片蔚蓝	26 铺开一片蔚蓝（双谱）	0	qupu123	26 铺开一片蔚蓝（双谱） _美声曲谱_中国曲谱网
Because_of_You.txt	Because_of_You	Because of You	0	qupu123	Because of You _外国曲谱_中国曲谱网
Beyond_My_Beloved_Horizon钢琴.txt	Beyond_My_Beloved_Horizon钢琴	Beyond_My_Beloved_Horizon	0	jianpujia	Beyond_My_Beloved_Horizon钢琴简谱_Hans_Zimmer&amp;Klaus_Badelt演唱-免费下载-简谱之家
Beyond_Rangoon_Waters_of_Irrawaddy钢琴.txt	Beyond_Rangoon_Waters_of_Irrawaddy钢琴	Beyond_Rangoon_Waters_of_Irrawaddy	0	jianpujia	Beyond_Rangoon_Waters_of_Irrawaddy钢琴简谱_马克西姆演唱-免费下载-简谱之家
Beyond_The_Sky钢琴.txt	Beyond_The_Sky钢琴	Beyond_The_Sky	0	jianpujia	Beyond_The_Sky钢琴简谱_未知演唱-免费下载-简谱之家
Blue_Berry_Hill_鸟饭树山.txt	Blue_Berry_Hill_鸟饭树山	Blue Berry Hill 鸟饭树山 （蓝莓山）	0	qupu123	Blue Berry Hill 鸟饭树山 （蓝莓山）_外国曲谱_中国曲谱网
Falling_in_Love.txt	Falling_in_Love	Falling_in_Love	0	jianpujia	Falling_in_Love简谱_许嵩演唱_桃李醉春风制作曲谱-免费下载-简谱之家
Happy_Birthday，Love_For_You.txt	Happy Birthday，Love For You	Happy Birthday，Love For You	0	qupu123	Happy Birthday，Love For You _通俗曲谱_中国曲谱网
I_will_carry_you钢琴谱当王者荣耀遇到五月天骨灰级玩家在哪里.txt	I_will_carry_you钢琴谱当王者荣耀遇到五月天骨灰级玩家在哪里	I_will_carry_you钢琴谱当王者荣耀遇到五月天骨灰级玩家在哪里	0	jianpujia	I_will_carry_you钢琴谱当王者荣耀遇到五月天骨灰级玩家在哪里-免费下载-简谱之家
Its_Happening钢琴.txt	Its_Happening钢琴	Its_Happening	0	jianpujia	Its_Happening钢琴简谱_World_Beyond演唱-免费下载-简谱之家
I’MH_A_P_P_Y我快乐儿歌.txt	I’MH_A_P_P_Y我快乐儿歌	I’MH_A_P_P_Y我快乐儿歌I’M_H_A_P_P_Y我快乐儿歌	0	jianpujia	I’MH_A_P_P_Y我快乐儿歌I’M_H_A_P_P_Y我快乐儿歌简谱-免费下载-简谱之家
MV_藏在浓雾里的朴家人.txt	MV_藏在浓雾里的朴家人	MV 藏在浓雾里的朴家人	0	qupu123	MV 藏在浓雾里的朴家人 _合唱曲谱_中国曲谱网
One_Final_Chance钢琴.txt	One_Final_Chance钢琴	One_Final_Chance	0	jianpujia	One_Final_Chance钢琴简谱_World_Beyond演唱-免费下载-简谱之家
Take_Me_To_Your_Heart（吻别）.txt	Take Me To Your Heart（吻别）	Take Me To Your Heart （吻别（英文版））	0	qupu123	Take Me To Your Heart （吻别（英文版））_谱友园地_中国曲谱网
The_Fate_of_Stars_星之命途合唱谱.txt	The_Fate_of_Stars_星之命途合唱谱	The Fate of Stars 星之命途合唱谱 （女声三部）	0	qupu123	The Fate of Stars 星之命途合唱谱 （女声三部）_球球584411678个人制谱园地_中国曲谱网
dance_monkey.txt	dance_monkey	dance monkey （跳舞的猴子）	1	qupu123	dance monkey （跳舞的猴子）_外国曲谱_中国曲谱网
【日】Lemon电视剧_非自然死亡_主题曲_ドラマ「アンナチュラ.txt	【日】Lemon电视剧_非自然死亡_主题曲_ドラマ「アンナチュラ	【日】Lemon电视剧_非自然死亡_主题曲/ドラマ「アンナチュラル」主題歌【日】Lemon电视剧_非自然死亡_主题曲_/_ドラマ「アンナチュラル」主題歌	0	jianpujia	【日】Lemon电视剧_非自然死亡_主题曲/ドラマ「アンナチュラル」主題歌【日】Lemon电视剧_非自然死亡_主题曲_/_ドラマ「アンナチュラル」主題歌简谱_米津玄师演唱_米津玄师/米津玄师词曲-免费下载-简谱之家
一半钢琴.txt	一半钢琴	一半	1	jianpujia	一半钢琴简谱_薛之谦演唱-免费下载-简谱之家
一只小花狗钢琴.txt	一只小花狗钢琴	一只小花狗	1	jianpujia	一只小花狗钢琴简谱_儿歌演唱-免费下载-简谱之家
一时的选择钢琴.txt	一时的选择钢琴	一时的选择	1	jianpujia	一时的选择钢琴简谱_林俊杰演唱-免费下载-简谱之家
一点点钢琴.txt	一点点钢琴	一点点	1	jianpujia	一点点钢琴简谱_周杰伦演唱-免费下载-简谱之家
一程山路钢琴.txt	一程山路钢琴	一程山路	1	jianpujia	一程山路钢琴简谱_毛不易演唱-免费下载-简谱之家
下雨了钢琴.txt	下雨了钢琴	下雨了	1	jianpujia	下雨了钢琴简谱_薛之谦演唱-免费下载-简谱之家
不懂钢琴.txt	不懂钢琴	不懂	1	jianpujia	不懂钢琴简谱_林俊杰演唱-免费下载-简谱之家
不潮不用花钱钢琴.txt	不潮不用花钱钢琴	不潮不用花钱	1	jianpujia	不潮不用花钱钢琴简谱_林俊杰演唱-免费下载-简谱之家
不能说的秘密片尾曲钢琴.txt	不能说的秘密片尾曲钢琴	不能说的秘密片尾曲	1	jianpujia	不能说的秘密片尾曲钢琴简谱_周杰伦演唱-免费下载-简谱之家
不该钢琴.txt	不该钢琴	不该	1	jianpujia	不该钢琴简谱_周杰伦演唱-免费下载-简谱之家
不说钢琴.txt	不说钢琴	不说	1	jianpujia	不说钢琴简谱_李荣浩演唱-免费下载-简谱之家
