曲名组	版本数	疑似不同曲的对	最像的一对(相似度)	最不像的一对(相似度)	文件列表
New Boy	2	1	New Boy(28%)	New Boy(28%)	New_Boy.txt | 《NeW_BOY》.txt
Take Me To Your Heart（吻别）	2	1	Take Me To You(19%)	Take Me To You(19%)	Take_Me_To_Your_Heart（吻别）.txt | Take_Me_To_Your_heart.txt
《偿还》	2	1	《偿还》(10%)	《偿还》(10%)	《偿还》.txt | 邓丽君_17.txt
《祖国为你唱支歌》	2	1	《祖国为你唱支歌》(9%)	《祖国为你唱支歌》(9%)	《祖国为你唱支歌》.txt | 祖国，为你唱支歌.txt
《蝶恋花 答李淑一》	2	1	《蝶恋花 答李淑一》(3%)	《蝶恋花 答李淑一》(3%)	《蝶恋花_答李淑一》.txt | 蝶恋花_答李淑一.txt
一荤一素	2	1	一荤一素(30%)	一荤一素(30%)	一荤一素.txt | 一荤一素_2.txt
一路生花	2	1	一路生花(5%)	一路生花(5%)	一路生花__qupu123-397307.txt | 一路生花（二部合唱谱）__qupu123-396591.txt
一路芬芳	2	1	一路芬芳(24%)	一路芬芳(24%)	一路芬芳.txt | 一路芬芳_2.txt
下一个天亮	2	1	下一个天亮(5%)	下一个天亮(5%)	下一个天亮__qupu123-385166.txt | 下一个天亮（编配乐谱）__qupu123-34754.txt
丑八怪	2	1	丑八怪(25%)	丑八怪(25%)	丑八怪.txt | 丑八怪_2.txt
世间始终你好	2	1	世间始终你好(9%)	世间始终你好(9%)	世间始终你好.txt | 世间始终你好_2.txt
东北民谣	2	1	东北民谣(18%)	东北民谣(18%)	东北民谣.txt | 东北民谣_2.txt
丝绸之路	2	1	丝绸之路(4%)	丝绸之路(4%)	丝绸之路.txt | 丝绸之路_2.txt
丽	2	1	丽(16%)	丽(16%)	丽.txt | 丽_3.txt
云河	2	1	云河(12%)	云河(12%)	云河.txt | 邓丽君_8.txt
伊人何处	2	1	伊人何处(14%)	伊人何处(14%)	伊人何处.txt | 邓丽君_11.txt
何日君再来	2	1	何日君再来(26%)	何日君再来(26%)	何日君再来.txt | 何日君再来_2.txt
你为何不说	2	1	你为何不说(22%)	你为何不说(22%)	你为何不说.txt | 邓丽君_12.txt
你怎么说	2	1	你怎么说(29%)	你怎么说(29%)	你怎么说.txt | 邓丽君_14.txt
你还要我怎样	2	1	你还要我怎样(23%)	你还要我怎样(23%)	你还要我怎样.txt | 你还要我怎样_3.txt
信念	2	1	信念(9%)	信念(9%)	信念.txt | 信念_2.txt
偶然的相遇	2	1	偶然的相遇(13%)	偶然的相遇(13%)	偶然的相遇.txt | 邓丽君_16.txt
像我这样的人	2	1	像我这样的人(10%)	像我这样的人(10%)	像我这样的人.txt | 像我这样的人_2.txt
光辉岁月	3	3	光辉岁月(27%)	光辉岁月(15%)	光辉岁月.txt | 光辉岁月_2.txt | 光辉岁月_3.txt
全世界最好的你	2	1	全世界最好的你(34%)	全世界最好的你(34%)	全世界最好的你.txt | 全世界最好的你_2.txt
再见只是陌生人	2	1	再见只是陌生人(8%)	再见只是陌生人(8%)	再见只是陌生人__qupu123-316662.txt | 再见只是陌生人（简和谱）__qupu123-364273.txt
再见理想	3	3	再见理想(27%)	再见理想(8%)	再见理想.txt | 再见理想_2.txt | 再见理想_3.txt
冬之恋情	2	1	冬之恋情(27%)	冬之恋情(27%)	冬之恋情.txt | 邓丽君_18.txt
冬天	2	1	冬天(5%)	冬天(5%)	冬天（牛汉词 邓曙曲）__qupu123-223551.txt | 冬天（逍遥读书人词刘新太曲）__qupu123-329820.txt
凝望	2	1	凝望(18%)	凝望(18%)	凝望.txt | 邓丽君_19.txt
初恋的地方	2	1	初恋的地方(7%)	初恋的地方(7%)	初恋的地方.txt | 初恋的地方_2.txt
别离	2	1	别离(29%)	别离(29%)	别离.txt | 邓丽君_21.txt
前生有缘	2	1	前生有缘(18%)	前生有缘(18%)	前生有缘.txt | 邓丽君_22.txt
前门情思大碗茶	2	1	前门情思大碗茶(13%)	前门情思大碗茶(13%)	前门情思大碗茶.txt | 前门情思大碗茶_2.txt
北国之春	2	1	北国之春(22%)	北国之春(22%)	北国之春.txt | 北国之春_2.txt
十年	2	1	十年(9%)	十年(9%)	十年.txt | 十年_歌曲类.txt
千言万语	2	1	千言万语(13%)	千言万语(13%)	千言万语.txt | 邓丽君_23.txt
半斤八两	2	1	半斤八两(8%)	半斤八两(8%)	半斤八两.txt | 半斤八两_2.txt
原乡情浓	2	1	原乡情浓(21%)	原乡情浓(21%)	原乡情浓.txt | 邓丽君_26.txt
原来你什么都不想要	2	1	原来你什么都不想要(8%)	原来你什么都不想要(8%)	原来你什么都不想要.txt | 原来你什么都不想要_2.txt
又见炊烟	2	1	又见炊烟(14%)	又见炊烟(14%)	又见炊烟.txt | 邓丽君_27.txt
又见雪花	2	1	又见雪花(27%)	又见雪花(27%)	又见雪花.txt | 邓丽君_28.txt
向日葵	2	1	向日葵(22%)	向日葵(22%)	向日葵.txt | 邓丽君_30.txt
四季歌	2	1	四季歌(22%)	四季歌(22%)	四季歌.txt | 邓丽君_34.txt
夏夜的红玫瑰	2	1	夏夜的红玫瑰(6%)	夏夜的红玫瑰(6%)	夏夜的红玫瑰.txt | 夏夜的红玫瑰_2.txt
外婆的澎湖湾	2	1	外婆的澎湖湾(5%)	外婆的澎湖湾(5%)	外婆的澎湖湾.txt | 外婆的澎湖湾_2.txt
夜的投影	2	1	夜的投影(8%)	夜的投影(8%)	夜的投影.txt | 邓丽君_36.txt
夜雾	2	1	夜雾(30%)	夜雾(30%)	夜雾.txt | 邓丽君_38.txt
大风车	2	1	大风车(7%)	大风车(7%)	大风车.txt | 大风车_2.txt
天问	2	1	天问(3%)	天问(3%)	天问.txt | 天问_2.txt
失去的春天	2	1	失去的春天(22%)	失去的春天(22%)	失去的春天.txt | 邓丽君_40.txt
好久不见	4	3	好久不见(100%)	好久不见(9%)	好久不见.txt | 好久不见_2.txt | 好久不见_3.txt | 好久不见_4.txt
如果可以	2	1	如果可以(5%)	如果可以(5%)	如果可以__qupu123-381404.txt | 如果可以（淦子词 李虎曲）__qupu123-35435.txt
娘心	2	1	娘心(21%)	娘心(21%)	娘心.txt | 邓丽君_43.txt
家	5	9	家(41%)	家(3%)	家.txt | 家_2.txt | 家_3.txt | 家_4.txt | 家_5.txt
寄语多情人	2	1	寄语多情人(32%)	寄语多情人(32%)	寄语多情人.txt | 邓丽君_44.txt
富士山下	2	1	富士山下(2%)	富士山下(2%)	富士山下.txt | 富士山下_2.txt
小城故事	5	7	小城故事(82%)	小城故事(12%)	小城故事.txt | 小城故事_2.txt | 小城故事_3.txt | 小城故事_4.txt | 邓丽君_45.txt
小燕子	2	1	小燕子(16%)	小燕子(16%)	小燕子.txt | 小燕子_2.txt
小路	2	1	小路(25%)	小路(25%)	小路.txt | 邓丽君_47.txt
山茶花	2	1	山茶花(30%)	山茶花(30%)	山茶花.txt | 邓丽君_48.txt
心事知多少	3	3	心事知多少(15%)	心事知多少(7%)	心事知多少.txt | 心事知多少_2.txt | 心事知多少_3.txt
心湖里起涟漪	2	1	心湖里起涟漪(23%)	心湖里起涟漪(23%)	心湖里起涟漪.txt | 邓丽君_51.txt
心里梦里	2	1	心里梦里(15%)	心里梦里(15%)	心里梦里.txt | 邓丽君_52.txt
忘不了	2	1	忘不了(26%)	忘不了(26%)	忘不了.txt | 邓丽君_53.txt
忘记他	2	1	忘记他(34%)	忘记他(34%)	忘记他.txt | 邓丽君_54.txt
情人	2	1	情人(13%)	情人(13%)	情人.txt | 情人_歌曲类.txt
情人的关怀	2	1	情人的关怀(9%)	情人的关怀(9%)	情人的关怀.txt | 邓丽君_58.txt
情谜	2	1	情谜(26%)	情谜(26%)	情谜.txt | 邓丽君_60.txt
情飘飘	2	1	情飘飘(12%)	情飘飘(12%)	情飘飘.txt | 邓丽君_61.txt
想你想断肠	2	1	想你想断肠(23%)	想你想断肠(23%)	想你想断肠.txt | 邓丽君_63.txt
我不愿让你一个人	2	1	我不愿让你一个人(5%)	我不愿让你一个人(5%)	我不愿让你一个人.txt | 我不愿让你一个人_2.txt
我们	3	2	我们(100%)	我们(2%)	我们.txt | 我们_2.txt | 我们_3.txt
我只在乎你	2	1	我只在乎你(23%)	我只在乎你(23%)	我只在乎你.txt | 我只在乎你_2.txt
我心里边	2	1	我心里边(24%)	我心里边(24%)	我心里边.txt | 邓丽君_67.txt
我想有个家	2	1	我想有个家(22%)	我想有个家(22%)	我想有个家.txt | 我想有个家_2.txt
我爱北京天安门	2	1	我爱北京天安门(13%)	我爱北京天安门(13%)	我爱北京天安门.txt | 我爱北京天安门_2.txt
戒烟	2	1	戒烟(14%)	戒烟(14%)	戒烟.txt | 戒烟_2.txt
旅愁	2	1	旅愁(17%)	旅愁(17%)	旅愁.txt | 邓丽君_70.txt
无题	2	1	无题(7%)	无题(7%)	无题.txt | 无题_2.txt
时光机	2	1	时光机(20%)	时光机(20%)	时光机.txt | 时光机_2.txt
星	4	5	星(43%)	星(9%)	星.txt | 星_2.txt | 星_3.txt | 邓丽君_72.txt
星月泪痕	2	1	星月泪痕(11%)	星月泪痕(11%)	星月泪痕.txt | 邓丽君_73.txt
春天在哪里	2	1	春天在哪里(19%)	春天在哪里(19%)	春天在哪里.txt | 春天在哪里_2.txt
春天的故事	2	1	春天的故事(9%)	春天的故事(9%)	春天的故事.txt | 春天的故事_2.txt
是否	2	1	是否(28%)	是否(28%)	是否.txt | 邓丽君_74.txt
暧昧	2	1	暧昧(3%)	暧昧(3%)	暧昧.txt | 暧昧_2.txt
曼陀山庄	2	1	曼陀山庄(31%)	曼陀山庄(31%)	曼陀山庄.txt | 曼陀山庄_2.txt
最后一页	2	1	最后一页(22%)	最后一页(22%)	最后一页__qupu123-235464.txt | 最后一页（琵琶谱）__qupu123-389304.txt
最美的歌儿唱给妈妈	2	1	最美的歌儿唱给妈妈(13%)	最美的歌儿唱给妈妈(13%)	最美的歌儿唱给妈妈.txt | 最美的歌儿唱给妈妈_完整版.txt
月亮代表我的心	2	1	月亮代表我的心(29%)	月亮代表我的心(29%)	月亮代表我的心.txt | 月亮代表我的心_2.txt
月光	3	3	月光(15%)	月光(4%)	月光.txt | 月光_2.txt | 月光_3.txt
月夜诉情	2	1	月夜诉情(24%)	月夜诉情(24%)	月夜诉情.txt | 邓丽君_77.txt
有你无你	2	1	有你无你(9%)	有你无你(9%)	有你无你.txt | 有你无你_2.txt
望	4	4	望(45%)	望(9%)	望.txt | 望_2.txt | 望_3.txt | 望_4.txt
望一望	2	1	望一望(14%)	望一望(14%)	望一望.txt | 邓丽君_78.txt
李白	2	1	李白(21%)	李白(21%)	李白.txt | 李白_2.txt
梦	3	2	梦(63%)	梦(11%)	梦.txt | 梦_2.txt | 邓丽君_80.txt
梦永远在草原	2	1	梦永远在草原(11%)	梦永远在草原(11%)	梦永远在草原.txt | 梦永远在草原_2.txt
橄榄树	2	1	橄榄树(24%)	橄榄树(24%)	橄榄树.txt | 橄榄树_2.txt
每当我走过老师窗前	3	2	每当我走过老师窗前(100%)	每当我走过老师窗前(17%)	每当我走过老师窗前.txt | 每当我走过老师窗前_2.txt | 每当我走过老师窗前_3.txt
永远爱我	2	1	永远爱我(11%)	永远爱我(11%)	永远爱我.txt | 邓丽君_84.txt
江南	3	3	江南(6%)	江南(3%)	江南__qupu123-360746.txt | 江南__qupu123-370195.txt | 江南_歌曲类.txt
泪的小雨	2	1	泪的小雨(13%)	泪的小雨(13%)	泪的小雨.txt | 邓丽君_85.txt
浮夸	2	1	浮夸(6%)	浮夸(6%)	浮夸.txt | 浮夸_2.txt
海阔天空	3	3	海阔天空(19%)	海阔天空(9%)	海阔天空.txt | 海阔天空_2.txt | 海阔天空_3.txt
海韵	2	1	海韵(27%)	海韵(27%)	海韵.txt | 邓丽君_86.txt
淘汰	2	1	淘汰(4%)	淘汰(4%)	淘汰.txt | 淘汰_2.txt
深海	2	1	深海(3%)	深海(3%)	深海.txt | 深海_2.txt
温柔	3	3	温柔(12%)	温柔(4%)	温柔.txt | 温柔_2.txt | 温柔_歌曲类.txt
烧	3	3	烧(19%)	烧(9%)	烧.txt | 烧_2.txt | 烧_3.txt
爱	5	6	爱(53%)	爱(9%)	爱.txt | 爱_2.txt | 爱_3.txt | 爱_4.txt | 爱_歌曲类.txt
爱人	2	1	爱人(30%)	爱人(30%)	爱人.txt | 邓丽君_88.txt
爱恋我的草原	2	1	爱恋我的草原(22%)	爱恋我的草原(22%)	爱恋我的草原.txt | 爱恋我的草原_2.txt
爱情	2	1	爱情(27%)	爱情(27%)	爱情.txt | 邓丽君_89.txt
爱我你怕了吗	2	1	爱我你怕了吗(9%)	爱我你怕了吗(9%)	爱我你怕了吗.txt | 爱我你怕了吗_2.txt
爱我还是他	2	1	爱我还是他(15%)	爱我还是他(15%)	爱我还是他__qupu123-333102.txt | 爱我还是他__qupu123-3384.txt
爱的理想	2	1	爱的理想(25%)	爱的理想(25%)	爱的理想.txt | 邓丽君_91.txt
爱的箴言 歌曲类	2	1	爱的箴言 歌曲类(6%)	爱的箴言 歌曲类(6%)	爱的箴言_歌曲类.txt | 邓丽君_92.txt
珊瑚海	2	1	珊瑚海(13%)	珊瑚海(13%)	珊瑚海.txt | 珊瑚海_2.txt
甜蜜蜜	2	1	甜蜜蜜(29%)	甜蜜蜜(29%)	甜蜜蜜.txt | 邓丽君_94.txt
田野的春天	2	1	田野的春天(8%)	田野的春天(8%)	田野的春天.txt | 田野的春天_2.txt
画	3	3	画(26%)	画(19%)	画.txt | 画_2.txt | 画_3.txt
