序号	榜单名次	曲名	歌手	查询
1	2	晴天	周杰伦	1 1 1 5 5 6 5 4 4 2 3 4 5 6 1
2	4	舍得	王维旖	5 4 5 3 2 1 1 5 3 4 3 4 5 4 3
3	7	青花瓷	周杰伦	5 3 2 5 5 3 2 3 5 2 3 5 2 1 1
4	11	红色高跟鞋	蔡健雅	2 2 7 7 7 1 1 1 5 3 3 3 2 1 1
5	12	青花	周传雄	6 6 1 5 3 2 2 1 6 6 2 2 2 3 2
6	13	稻香	周杰伦	2 3 1 1 1 6 1 1 1 1 2 2 2 2 1
7	16	小美满	周深	1 1 6 6 3 2 1 3 1 2 1 5 2 6 5
8	17	世界赠与我的	王菲	5 3 4 3 6 6 1 1 2 3 4 4 5 3 3
9	21	执子之手	宝石Gem、哩哩	5 6 5 5 3 2 2 2 3 2 2 1 7 6 6
10	22	爱我还是他	陶喆	3 2 5 5 2 3 2 1 4 5 5 3 4 5 5
11	25	下一个天亮	郭静	6 6 6 6 5 1 1 4 6 5 5 6 3 5 4
12	26	多远都要在一起	G.E.M.邓紫棋	1 5 1 2 3 3 3 2 2 1 1 1 5 1 2
