序号	查询	应答
1	7 6 7 7 1 2 1 1 5 5 6 6 6 5 5	Always
2	6 3 6 3 7 3 1 3 6 1 6 1 1 1 1	Letting
3	7 1 2 3 5 6 1 7 6 5 3 3 5 6 1	一路生花
4	4 3 5 1 1 3 5 6 6 5 5 2 2 2 2	七里香
5	6 6 6 6 5 1 1 4 6 5 5 6 3 5 4	下一个天亮
6	5 3 4 3 6 6 1 1 2 3 4 4 5 3 3	世界赠与我的
7	1 3 1 5 6 5 1 2 3 5 5 6 1 6 5	亲爱的你啊
8	5 5 5 6 5 5 3 3 2 3 3 3 2 3 3	体面
9	3 3 2 3 5 5 7 5 5 5 5 4 4 4 4	倒数
10	7 1 1 5 5 5 5 2 3 5 5 5 5 1 2	光年之外
11	6 1 7 7 1 2 2 1 7 6 6 7 1 1 7	光辉岁月
12	2 2 4 5 1 2 6 2 7 1 2 6 4 5 4	其实
13	2 3 5 6 1 1 1 6 1 2 3 3 5 6 1	再见只是陌生人
14	1 6 6 6 1 6 5 6 5 1 2 2 2 2 2	冲动的惩罚
15	2 4 3 2 1 3 3 2 1 7 1 1 7 7 4	十年
16	3 3 3 2 2 2 2 2 6 1 6 3 3 4 2	千千阙歌
17	7 6 6 6 5 4 3 3 4 5 5 1 2 3 2	可惜没如果
18	4 4 5 6 7 6 6 7 1 2 7 1 2 3 4	叹云兮
19	1 2 3 5 2 1 5 7 7 7 6 7 1 2 3	告白气球
20	2 3 4 6 4 3 1 3 3 4 2 3 4 5 7	喜欢你
21	1 5 1 2 3 3 3 2 2 1 1 1 5 1 2	多远都要在一起
22	1 2 2 5 2 2 1 6 6 6 2 6 6 5 6	大山
23	7 5 3 3 2 5 3 6 6 7 1 1 2 1 7	奢香夫人
24	6 5 6 7 5 6 5 5 5 6 7 6 5 5 6	如果可以
25	5 3 2 1 2 3 3 6 6 3 2 1 2 1 1	富士山下
26	1 1 6 6 3 2 1 3 1 2 1 5 2 6 5	小美满
27	5 6 7 1 7 1 1 3 6 6 6 7 1 1 1	平凡之路
28	1 6 1 1 1 1 3 5 2 6 1 1 1 3 5	恭喜发财
29	3 2 3 5 3 3 5 1 5 5 3 3 2 3 5	我知道
30	3 3 1 2 4 4 4 3 3 3 4 4 4 4 1	我落泪情绪零碎
31	3 5 7 4 6 1 7 2 5 2 4 6 7 4 5	戒烟
32	5 6 5 5 3 2 2 2 3 2 2 1 7 6 6	执子之手
33	5 3 5 6 5 6 1 1 6 1 2 2 6 5 2	指纹
34	5 3 2 2 1 2 3 3 2 3 1 1 1 2 3	无名的人二部合唱
35	1 1 1 5 5 6 5 4 4 2 3 4 5 6 1	晴天
36	7 6 3 2 2 2 3 4 3 2 3 2 2 2 3	曾经的你
37	3 5 5 6 2 1 5 3 5 6 1 2 3 3 5	最后一页
38	3 4 4 3 3 3 3 2 1 1 1 3 2 1 2	枫
39	5 6 6 6 6 1 1 5 5 1 1 4 3 4 3	江南
40	2 3 5 3 5 6 6 6 6 5 6 5 5 2 2	泡沫
41	1 1 2 2 1 1 3 5 1 3 1 1 1 1 3	海阔天空
42	2 1 1 7 1 2 6 5 4 4 6 4 3 3 5	演员
43	6 2 6 7 3 2 3 2 5 2 5 6 7 1 7	烟花易冷
44	3 2 5 5 2 3 2 1 4 5 5 3 4 5 5	爱我还是他
45	5 3 2 2 2 2 3 4 3 2 1 2 1 1 6	猜不透
46	2 3 1 1 1 6 1 1 1 1 2 2 2 2 1	稻香
47	6 5 5 6 7 1 3 3 7 1 2 2 2 1 1	等一分钟
48	1 7 6 6 6 3 2 1 2 6 5 3 2 3 2	素颜
49	6 1 6 6 5 5 3 6 5 5 6 5 6 1 2	红尘客栈
50	2 2 7 7 7 1 1 1 5 3 3 3 2 1 1	红色高跟鞋
51	2 1 7 6 5 4 3 2 1 7 1 1 7 6 6	美人鱼
52	5 4 5 3 2 1 1 5 3 4 3 4 5 4 3	舍得
53	7 6 1 7 6 7 6 5 5 6 3 5 6 6 5	茶花开了
54	3 7 1 7 6 6 3 5 6 1 6 2 2 1 1	西海情歌
55	6 5 5 5 1 1 6 5 5 5 3 5 3 5 3	讲不出再见
56	6 6 7 5 5 6 5 4 4 7 3 3 6 7 1	说好的幸福呢
57	2 3 2 1 2 3 6 5 6 5 6 5 2 2 3	起风了
58	2 3 3 3 5 5 5 6 6 6 1 6 5 5 5	迟来的爱
59	6 6 1 5 3 2 2 1 6 6 2 2 2 3 2	青花
60	5 3 2 5 5 3 2 3 5 2 3 5 2 1 1	青花瓷
61	6 6 1 7 1 1 7 1 7 6 1 1 7 1 7	黄昏
