类别	文件A	曲名A	标签A	文件B	曲名B	标签B	公共音数	覆盖率(较短)	长度A	长度B	建议
同名多版本	牵手草原一起嗨广场DJ版.txt	牵手草原一起嗨广场DJ版	分类/草原|分类/草原	牵手草原一起嗨广场DJ版_2.txt	牵手草原一起嗨广场DJ版	分类/草原|草原丁喜|草原|分类/草原|草原丁喜|草原	371	1.00	371	374	预期内(榜单的多版本留一就是这种); 不用动
重复-异名	我送报刊走得忙.txt	我送报刊走得忙	蒋大为|蒋大为	我送报刊走的忙.txt	我送报刊走的忙	蒋大为|蒋大为	345	1.00	345	345	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	其实（薛之谦 词曲）__qupu123-304211.txt	其实（薛之谦		其实（薛之谦.txt	其实（薛之谦	薛之谦|薛之谦	322	1.00	322	322	预期内(榜单的多版本留一就是这种); 不用动
标题-未命名	未命名-jianpujia-238450.txt	未命名-jianpujia-238450	分类/萨克斯谱|分类/草原|分类/萨克斯谱|分类/草原	草原春不老草原丁喜.txt	草原春不老草原丁喜	分类/萨克斯谱|分类/草原|草原丁喜|草原|分类/萨克斯谱|分类/草原|草原丁喜|草原	311	1.00	311	312	按对侧曲名起名(疑似同一首的两个转写): 草原春不老草原丁喜
重复-异名	有你无你_2.txt	有你无你	毛不易|毛不易	有你无你_《长相思》电视剧玱玹主题曲.txt	有你无你 《长相思》电视剧玱玹主题曲	毛不易|分类/影视|毛不易|分类/影视	291	1.00	291	291	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
同名多版本	我们_2.txt	我们		我们_3.txt	我们		284	1.00	284	284	预期内(榜单的多版本留一就是这种); 不用动
同名多版本	云朵上的草原草原丁喜萨斯.txt	云朵上的草原草原丁喜萨斯	分类/草原|分类/草原	云朵上的草原草原丁喜萨斯_2.txt	云朵上的草原草原丁喜萨斯	分类/草原|草原大哈|草原|分类/草原|草原大哈|草原	273	1.00	273	273	预期内(榜单的多版本留一就是这种); 不用动
标题-残名	祝福.txt	祝福	分类/草原|分类/草原	谱.txt	谱	分类/草原|草原晓燕|草原|分类/草原|草原晓燕|草原	273	1.00	273	273	残名/截断, 对侧更完整: 谱
重复-异名	NOWBOY.txt	NOWBOY	朴树|朴树	《NeW_BOY》.txt	《NeW BOY》	朴树|朴树	271	1.00	271	271	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
重复-异名	一荤一素_2.txt	一荤一素	毛不易|毛不易	一荤一素有声动态谱.txt	一荤一素有声动态谱	毛不易|毛不易	270	1.00	271	270	疑似同一份转写挂了两个名字 -> 人工判: 合并/隔离其一
