曲名	站	页面id	页数	类型	目录
	jianpucn	149071	1	简谱	_魅力湘西__jianpucn-149071
- 吻别 吻别 -	jianpucn	228770	2	简谱	- 吻别 吻别 -__jianpucn-228770
-任我行	jianpucn	240540	2	简谱	-任我行__jianpucn-240540
05895464版@安静	jianpucn	103276	2	简谱	05895464版@安静__jianpucn-103276
101高峰会	jianpucn	178629	1	简谱	101高峰会（周杰伦）__jianpucn-178629
10信念	qupu123	319833	4	简谱	10信念（双谱）__qupu123-319833
11幸福花园	qupu123	312866	5	简谱	11幸福花园（双谱）__qupu123-312866
11祖国，我一定要回去	qupu123	319834	3	简谱	11祖国，我一定要回去（双谱）__qupu123-319834
12我爱朝霞	qupu123	319835	5	简谱	12我爱朝霞（双谱）__qupu123-319835
12歌唱春天	qupu123	316431	5	简谱	12歌唱春天（双谱）__qupu123-316431
13生死不离	qupu123	314061	3	简谱	13生死不离（双谱）__qupu123-314061
14追寻	qupu123	312869	5	简谱	14追寻（D调）（双谱）__qupu123-312869
15诉说	qupu123	319939	4	简谱	15诉说（双谱）__qupu123-319939
15追寻	qupu123	312870	5	简谱	15追寻（G调）（双谱）__qupu123-312870
17岁	jianpucn	431313	4	简谱	17岁__jianpucn-431313
17岁尤克里里谱	jianpucn	462850	1	改编	17岁尤克里里谱（ 十七岁G调乌克丽丽弹唱谱）__jianpucn-462850
17岁钢琴	jianpujia	247320	4	改编	17岁钢琴简谱_刘德华演唱__jianpujia-247320
17我要去延安	qupu123	312874	4	简谱	17我要去延安（双谱）__qupu123-312874
17越走越近	qupu123	315518	3	简谱	17越走越近（双谱）__qupu123-315518
1874	jianpucn	8909	3	简谱	1874__jianpucn-8909
1874尤克里里谱	jianpucn	462832	1	改编	1874尤克里里谱（ 1874ukulele指弹四 ）__jianpucn-462832
18好男儿就是要当兵	qupu123	312876	3	简谱	18好男儿就是要当兵（双谱）__qupu123-312876
19我们的天空	qupu123	316441	4	简谱	19我们的天空（双谱）__qupu123-316441
1Dear-U	jianpucn	5762	3	简谱	1Dear-U__jianpucn-5762
1致祖国	qupu123	319721	6	简谱	1致祖国（双谱）（选自大型音乐舞蹈史诗《复兴之路》）__qupu123-319721
2013春晚歌曲李健、孙俪风吹麦浪GTP吉他谱总谱分享	jianpucn	208057	2	改编	2013春晚歌曲李健、孙俪风吹麦浪GTP吉他谱总谱分享__jianpucn-208057
2018	qupu123	307314	1	简谱	2018__qupu123-307314
20飞向大海的夜莺	qupu123	319944	6	简谱	20飞向大海的夜莺（双谱）__qupu123-319944
23天空	qupu123	320036	4	简谱	23天空（双谱）__qupu123-320036
23对岸	qupu123	313058	4	简谱	23对岸（双谱）__qupu123-313058
24腊子口抒怀	qupu123	316600	4	简谱	24腊子口抒怀（双谱）__qupu123-316600
24蓝色乌江	qupu123	313059	5	简谱	24蓝色乌江（双谱）__qupu123-313059
25白鸽托起你的梦	qupu123	320038	4	简谱	25白鸽托起你的梦（双谱）__qupu123-320038
26	qupu123	313063	5	简谱	26_铺开一片蔚蓝（双谱）__qupu123-313063
2祖国，我为你尽情歌唱	qupu123	312690	6	简谱	2祖国，我为你尽情歌唱（双谱）__qupu123-312690
31巴郎	qupu123	314954	5	简谱	31巴郎（双谱）__qupu123-314954
35月光	qupu123	316904	3	简谱	35月光（双谱）__qupu123-316904
38.5℃	jianpucn	197342	1	简谱	38.5℃__jianpucn-197342
3国歌唱中华	qupu123	319826	5	简谱	3国歌唱中华（双谱）__qupu123-319826
40高山流水	qupu123	320184	4	简谱	40高山流水（双谱）__qupu123-320184
41无题	qupu123	320186	4	简谱	41无题（双谱）__qupu123-320186
41霸王别姬	qupu123	317048	10	简谱	41霸王别姬（双谱）（歌剧《刘邦大帝》选段）__qupu123-317048
42在这个冰雪世界中	qupu123	313618	4	简谱	42在这个冰雪世界中（双谱）（（歌剧《守望天山》选段））__qupu123-313618
42无词歌	qupu123	320187	3	简谱	42无词歌（双谱）__qupu123-320187
43一切就在转眼之间	qupu123	313619	3	简谱	43一切就在转眼之间（双谱）（（歌剧《守望天山》选段））__qupu123-313619
43你在哪里啊，红莲	qupu123	317050	6	简谱	43你在哪里啊，红莲（双谱）（歌剧《运河谣》选段）__qupu123-317050
43冬雪咏叹	qupu123	320337	6	简谱	43冬雪咏叹（双谱）__qupu123-320337
44九泉下望你母子得安宁	qupu123	317051	4	简谱	44九泉下望你母子得安宁（双谱）（歌剧《祝福》选段）__qupu123-317051
44你是一个好人	qupu123	313620	3	简谱	44你是一个好人（双谱）（（歌剧《守望天山》选段））__qupu123-313620
44新不了情	qupu123	320338	2	简谱	44新不了情（双谱）__qupu123-320338
45天问	qupu123	317052	8	简谱	45天问（双谱）（歌剧《祝福》选段）__qupu123-317052
46我心中的好儿郎	qupu123	317053	4	简谱	46我心中的好儿郎（双谱）（歌剧《红河谷》选段）__qupu123-317053
46滚滚长江东逝水	qupu123	320340	2	简谱	46滚滚长江东逝水（双谱）__qupu123-320340
46祥林嫂	qupu123	315949	5	简谱	46祥林嫂（双谱）__qupu123-315949
47啊，鲁迅	qupu123	320341	5	简谱	47啊，鲁迅（双谱）__qupu123-320341
47梦回西藏	qupu123	317054	3	简谱	47梦回西藏（双谱）（歌剧《红河谷》选段）__qupu123-317054
47用我的生命赞美你的名字	qupu123	313625	4	简谱	47用我的生命赞美你的名字（双谱）（（歌剧《红河谷》选段））__qupu123-313625
48我是头人的女儿	qupu123	313627	5	简谱	48我是头人的女儿（双谱）（（歌剧《红河谷》选段））__qupu123-313627
48朋友，为你点亮篝火	qupu123	317055	6	简谱	48朋友，为你点亮篝火（双谱）（歌剧《红河谷》选段）__qupu123-317055
49-21-La Vie en Rose -Bb-	qupu123	363111	1	改编	49-21-La Vie en Rose -Bb- 五线谱（SMOOTH JAZZ - The Best of Harm__qupu123-363111
49我出生在黄河岸边	qupu123	313628	5	简谱	49我出生在黄河岸边（双谱）（（歌剧《红河谷》选段））__qupu123-313628
49这里不是你的家	qupu123	317056	6	简谱	49这里不是你的家（双谱）（歌剧《红河谷》选段）__qupu123-317056
4祖国在我心中	qupu123	319827	3	简谱	4祖国在我心中（双谱）__qupu123-319827
50含着泪，请举起猎枪	qupu123	313629	5	简谱	50含着泪，请举起猎枪（双谱）（（歌剧《红河谷》选段））__qupu123-313629
50用我的真心称颂你的名字	qupu123	317057	4	简谱	50用我的真心称颂你的名字（双谱）（歌剧《红河谷》选段）__qupu123-317057
51嫦娥奔月	qupu123	320345	4	简谱	51嫦娥奔月（双谱）__qupu123-320345
51追寻	qupu123	317209	4	简谱	51追寻（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317209
52卖炭翁	qupu123	320346	7	简谱	52卖炭翁（双谱）__qupu123-320346
52可是我的爱没有对你表白	qupu123	317210	5	简谱	52可是我的爱没有对你表白（歌剧《永不消逝的电波》选段）__qupu123-317210
53最美的一叶藏在心	qupu123	317211	7	简谱	53最美的一叶藏在心（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317211
54携手再看旭日红	qupu123	317212	6	简谱	54携手再看旭日红（双谱）（歌剧《永不消逝的电波》选段）__qupu123-317212
57远山	qupu123	320456	3	简谱	57远山（双谱）（歌剧《太阳雪》选段）__qupu123-320456
5我深深地爱你	qupu123	319828	4	简谱	5我深深地爱你（双谱）__qupu123-319828
5迎风飘扬的旗	qupu123	312693	5	简谱	5迎风飘扬的旗（双谱）__qupu123-312693
7红旗飘扬	qupu123	312695	5	简谱	7红旗飘扬（双谱）__qupu123-312695
8号	jianpucn	196329	1	简谱	8号_光阴的故事（简单版）__jianpucn-196329
8如此多娇	qupu123	315410	4	简谱	8如此多娇（双谱）__qupu123-315410
93海阔天空	jianpucn	194129	4	简谱	93海阔天空__jianpucn-194129
99只小白鸽	qupu123	327856	2	简谱	99只小白鸽（同名电视剧主题歌）__qupu123-327856
9你是血脉我是血	qupu123	312697	4	简谱	9你是血脉我是血（双谱）__qupu123-312697
@老乡	qupu123	303960	1	简谱	@老乡__qupu123-303960
A	qupu123	371368	1	简谱	A_Puppet's_Dream合唱谱__qupu123-371368
A promise	jianpucn	96149	2	简谱	A promise__jianpucn-96149
A.I.N.I. 爱你	jianpucn	181562	2	简谱	A.I.N.I. 爱你__jianpucn-181562
ABC	qupu123	369970	2	简谱	ABC_Song（abc字母歌）__qupu123-369970
Aku Manusia	jianpucn	294055	1	简谱	Aku Manusia__jianpucn-294055
Alway onlion	jianpucn	401100	2	简谱	Alway onlion__jianpucn-401100
Amani —	jianpucn	234085	2	简谱	Amani — （扫描版）__jianpucn-234085
