目标曲名	页面标题	页面id	判定	类型	本地目录
万里长城永不倒	万里长城永不倒	196190	同名✓	简谱(疑似可转写)	qupu123-mp001/万里长城永不倒__qupu123-196190
万里长城永不倒	万里长城永不倒	210880	同名✓	简谱(疑似可转写)	qupu123-mp001/万里长城永不倒__qupu123-210880
万里长城永不倒	万里长城永不倒（粤语注音版）	284015	同名✓	简谱(疑似可转写)	qupu123-mp001/万里长城永不倒（粤语注音版）__qupu123-284015
前尘	前尘如梦	69703	疑似	简谱(疑似可转写)	qupu123-mp002/前尘如梦__qupu123-69703
前尘	前尘旧梦不再提	385463	不同歌✗	简谱(疑似可转写)	qupu123-mp002/前尘旧梦不再提__qupu123-385463
前尘	陌前尘（剑网三游戏电影《前尘饮下》主题曲）	35365	不同歌✗	简谱(疑似可转写)	qupu123-mp002/陌前尘（剑网三游戏电影《前尘饮下》主题曲）__qupu123-35365
姐姐	姐姐（乐队总谱）	361867	同名✓	改编/器乐	qupu123-mp003/姐姐（乐队总谱）__qupu123-361867
姐姐	姐姐（李雨 词曲）	324509	同名✓	简谱(疑似可转写)	qupu123-mp003/姐姐（李雨 词曲）__qupu123-324509
姐姐	姐姐（贾盛强 词曲）	79784	同名✓	简谱(疑似可转写)	qupu123-mp003/姐姐（贾盛强 词曲）__qupu123-79784
明天你是否依然爱我	明天你是否依然爱我（5个版本）	1225	同名✓	简谱(疑似可转写)	qupu123-mp005/明天你是否依然爱我（5个版本）__qupu123-1225
明天你是否依然爱我	明天你是否依然爱我（乐队总谱）	346997	同名✓	改编/器乐	qupu123-mp005/明天你是否依然爱我（乐队总谱）__qupu123-346997
明天你是否依然爱我	明天你是否依然爱我（乐队总谱）	361443	同名✓	改编/器乐	qupu123-mp005/明天你是否依然爱我（乐队总谱）__qupu123-361443
每段路	每段路	209491	同名✓	简谱(疑似可转写)	qupu123-mp007/每段路__qupu123-209491
只要你过得比我好	只要你过得比我好	1151	同名✓	简谱(疑似可转写)	qupu123-mp009/只要你过得比我好__qupu123-1151
只要你过得比我好	只要你过得比我好	199315	同名✓	简谱(疑似可转写)	qupu123-mp009/只要你过得比我好__qupu123-199315
只要你过得比我好	只要你过得比我好	317808	同名✓	简谱(疑似可转写)	qupu123-mp009/只要你过得比我好__qupu123-317808
恋爱症候群	恋爱症候群	69664	同名✓	简谱(疑似可转写)	qupu123-mp011/恋爱症候群__qupu123-69664
情义两心坚	情义两心坚（电视剧《神雕侠侣》插曲）	49442	同名✓	简谱(疑似可转写)	qupu123-mp012/情义两心坚（电视剧《神雕侠侣》插曲）__qupu123-49442
