目标曲名	页面标题	页面id	判定	类型	本地目录
双截棍	被遗忘的时光（吉他六线谱）	29770	不同歌✗	改编/器乐	qupu123-mp9001/被遗忘的时光（吉他六线谱）__qupu123-29770
浪花一朵朵	浪花一朵朵	84347	同名✓	简谱(疑似可转写)	qupu123-mp024/浪花一朵朵__qupu123-84347
我是一只鱼	我是一只鱼 吉他谱（无限延音编配）	372053	同名✓	改编/器乐	qupu123-mp025/我是一只鱼 吉他谱（无限延音编配）__qupu123-372053
天天想你	一天天想你（电视剧《难舍真情》片尾主题歌）	71276	不同歌✗	简谱(疑似可转写)	qupu123-mp026/一天天想你（电视剧《难舍真情》片尾主题歌）__qupu123-71276
天天想你	天天想你（全芳词 株株曲）	302417	同名✓	简谱(疑似可转写)	qupu123-mp026/天天想你（全芳词 株株曲）__qupu123-302417
天天想你	天天想你（吉他六线谱）	29752	同名✓	改编/器乐	qupu123-mp026/天天想你（吉他六线谱）__qupu123-29752
天天想你	天天想你（陈乐融词 陈志远曲）	5673	同名✓	简谱(疑似可转写)	qupu123-mp026/天天想你（陈乐融词 陈志远曲）__qupu123-5673
谁明浪子心	谁明浪子心（带和弦）	293223	同名✓	改编/器乐	qupu123-mp027/谁明浪子心（带和弦）__qupu123-293223
青苹果乐园	青苹果乐园	14113	同名✓	简谱(疑似可转写)	qupu123-mp028/青苹果乐园__qupu123-14113
青苹果乐园	青苹果乐园	783	同名✓	简谱(疑似可转写)	qupu123-mp028/青苹果乐园__qupu123-783
蝴蝶飞呀	蝴蝶飞呀飞	38240	同名✓	简谱(疑似可转写)	qupu123-mp029/蝴蝶飞呀飞__qupu123-38240
红蜻蜓	红蜻蜓	344590	同名✓	简谱(疑似可转写)	qupu123-mp030/红蜻蜓__qupu123-344590
红蜻蜓	红蜻蜓	371392	同名✓	简谱(疑似可转写)	qupu123-mp030/红蜻蜓__qupu123-371392
红蜻蜓	红蜻蜓（二部合唱）	103667	同名✓	简谱(疑似可转写)	qupu123-mp030/红蜻蜓（二部合唱）__qupu123-103667
红蜻蜓	红蜻蜓（梦之旅组合）	375660	同名✓	简谱(疑似可转写)	qupu123-mp030/红蜻蜓（梦之旅组合）__qupu123-375660
听说爱情回来过	听说爱情回来过（吉他谱）	69328	同名✓	改编/器乐	qupu123-mp031/听说爱情回来过（吉他谱）__qupu123-69328
征服	征服吉他谱六线谱（袁惟仁）	69368	不同歌✗	改编/器乐	qupu123-mp032/征服吉他谱六线谱（袁惟仁）__qupu123-69368
征服	征服天堂	373701	疑似	简谱(疑似可转写)	qupu123-mp032/征服天堂__qupu123-373701
征服	征服（ukulele四线谱）	212202	同名✓	简谱(疑似可转写)	qupu123-mp032/征服（ukulele四线谱）__qupu123-212202
征服	把命运征服	312119	不同歌✗	简谱(疑似可转写)	qupu123-mp032/把命运征服__qupu123-312119
山不转水转	山不转水转	270529	同名✓	简谱(疑似可转写)	qupu123-mp033/山不转水转__qupu123-270529
山不转水转	山不转水转（乐队总谱）	361314	同名✓	改编/器乐	qupu123-mp033/山不转水转（乐队总谱）__qupu123-361314
山不转水转	山不转水转（梦之旅组合）	376076	同名✓	简谱(疑似可转写)	qupu123-mp033/山不转水转（梦之旅组合）__qupu123-376076
山不转水转	山不转水转（葫芦丝旋律谱）	307334	同名✓	简谱(疑似可转写)	qupu123-mp033/山不转水转（葫芦丝旋律谱）__qupu123-307334
一笑而过	一笑而过解千愁（刘兰芳词 一只舟曲）	207843	同名✓	简谱(疑似可转写)	qupu123-mp034/一笑而过解千愁（刘兰芳词 一只舟曲）__qupu123-207843
一笑而过	顺境逆境一笑而过	383021	同名✓	简谱(疑似可转写)	qupu123-mp034/顺境逆境一笑而过__qupu123-383021
新长征路上的摇滚	新长征路上的摇滚	396060	同名✓	简谱(疑似可转写)	qupu123-mp9006/新长征路上的摇滚__qupu123-396060
花房姑娘	花房姑娘	350703	同名✓	简谱(疑似可转写)	qupu123-mp036/花房姑娘__qupu123-350703
花房姑娘	花房姑娘（乐队总谱）	363088	同名✓	改编/器乐	qupu123-mp036/花房姑娘（乐队总谱）__qupu123-363088
花房姑娘	花房姑娘（吉他六线谱、简单吉他编配版）	233284	同名✓	改编/器乐	qupu123-mp036/花房姑娘（吉他六线谱、简单吉他编配版）__qupu123-233284
花房姑娘	花房姑娘（简谱）	362266	同名✓	简谱(疑似可转写)	qupu123-mp036/花房姑娘（简谱）__qupu123-362266
无地自容	无地自容（乐队总谱）	361857	同名✓	改编/器乐	qupu123-mp038/无地自容（乐队总谱）__qupu123-361857
梦回唐朝	梦回唐朝（唐朝乐队 词曲）	107400	同名✓	改编/器乐	qupu123-mp039/梦回唐朝（唐朝乐队 词曲）__qupu123-107400
飞得更高	愿你飞得更高	276532	同名✓	简谱(疑似可转写)	qupu123-mp040/愿你飞得更高__qupu123-276532
飞得更高	飞得更高（刘继锋词 张世民曲）	189202	同名✓	简谱(疑似可转写)	qupu123-mp040/飞得更高（刘继锋词 张世民曲）__qupu123-189202
飞得更高	飞得更高（吉他六线谱）	291049	同名✓	改编/器乐	qupu123-mp040/飞得更高（吉他六线谱）__qupu123-291049
飞得更高	飞得更高（山西省蒲县鸿桥中学校歌）	210872	同名✓	简谱(疑似可转写)	qupu123-mp040/飞得更高（山西省蒲县鸿桥中学校歌）__qupu123-210872
白桦林	白桦林	293165	同名✓	简谱(疑似可转写)	qupu123-mp041/白桦林__qupu123-293165
白桦林	白桦林	331468	同名✓	简谱(疑似可转写)	qupu123-mp041/白桦林__qupu123-331468
白桦林	白桦林（吉他谱）	240647	同名✓	改编/器乐	qupu123-mp041/白桦林（吉他谱）__qupu123-240647
白桦林	白桦林（王彦霖）	330774	同名✓	简谱(疑似可转写)	qupu123-mp041/白桦林（王彦霖）__qupu123-330774
我怀念的	我怀念的（吉他六线谱）	265868	同名✓	改编/器乐	qupu123-mp043/我怀念的（吉他六线谱）__qupu123-265868
