榜单	曲名	歌手	判定	库里曲名	库里文件	证据
eval_set_cma_30years30songs	月亮代表我的心	邓丽君	命中	月亮代表我的心	月亮代表我的心.txt	title 相等/包含
eval_set_cma_30years30songs	狮子山下	罗文	命中	狮子山下遇上	狮子山下遇上.txt	title 相等/包含
eval_set_cma_30years30songs	橄榄树	齐豫	命中	橄榄树	橄榄树.txt	title 相等/包含
eval_set_cma_30years30songs	龙的传人	李建复	命中	龙的传人	龙的传人.txt	title 相等/包含
eval_set_cma_30years30songs	上海滩	叶丽仪	命中	上海滩	上海滩.txt	title 相等/包含
eval_set_cma_30years30songs	恰似你的温柔	蔡琴	命中	恰似你的温柔	恰似你的温柔.txt	title 相等/包含
eval_set_cma_30years30songs	万里长城永不倒	叶振棠	库里没有			
eval_set_cma_30years30songs	童年	张艾嘉	命中	童年	童年.txt	title 相等/包含
eval_set_cma_30years30songs	万水千山总是情	汪明荃	命中	万水千山总是情	万水千山总是情.txt	title 相等/包含
eval_set_cma_30years30songs	酒干倘卖无	苏芮	命中	酒干倘卖无	酒干倘卖无.txt	title 相等/包含
eval_set_cma_30years30songs	风继续吹	张国荣	库里没有			
eval_set_cma_30years30songs	我的中国心	张明敏	命中	我的中国心	我的中国心.txt	title 相等/包含
eval_set_cma_30years30songs	爱在深秋	谭咏麟	命中	爱在深秋	爱在深秋.txt	title 相等/包含
eval_set_cma_30years30songs	明天会更好	群星	命中	明天会更好	明天会更好.txt	title 相等/包含
eval_set_cma_30years30songs	一无所有	崔健	命中	一无所有	一无所有.txt	title 相等/包含
eval_set_cma_30years30songs	信天游	程琳	命中	信天游	信天游.txt	title 相等/包含
eval_set_cma_30years30songs	大约在冬季	齐秦	命中	大约在冬季	大约在冬季.txt	title 相等/包含
eval_set_cma_30years30songs	一生何求	陈百强	命中	一生何求	一生何求.txt	title 相等/包含
eval_set_cma_30years30songs	千千阙歌	陈慧娴	命中	千千阙歌	千千阙歌.txt	title 相等/包含
eval_set_cma_30years30songs	梦醒时分	陈淑桦	命中	梦醒时分	梦醒时分.txt	title 相等/包含
eval_set_cma_30years30songs	弯弯的月亮	刘欢	命中	弯弯的月亮	弯弯的月亮_歌曲类.txt	title 相等/包含
eval_set_cma_30years30songs	我的未来不是梦	张雨生	命中	我的未来不是梦	我的未来不是梦.txt	title 相等/包含
eval_set_cma_30years30songs	我是一只小小鸟	赵传	命中	我是一只小小鸟	我是一只小小鸟.txt	title 相等/包含
eval_set_cma_30years30songs	男儿当自强	林子祥	命中	男儿当自强	男儿当自强.txt	title 相等/包含
eval_set_cma_30years30songs	海阔天空	BEYOND	命中	海阔天空	海阔天空.txt	title 相等/包含
eval_set_cma_30years30songs	吻别	张学友	命中	吻别	吻别_歌曲类.txt	title 相等/包含
eval_set_cma_30years30songs	同桌的你	老狼	命中	同桌的你	同桌的你.txt	title 相等/包含
eval_set_cma_30years30songs	我愿意	王菲	命中	我愿意	我愿意（严艺丹.txt	title 相等/包含
eval_set_cma_30years30songs	明年今日（十年）	陈奕迅	命中	明年今日	明年今日.txt	title 相等/包含
eval_set_cma_30years30songs	千里之外	周杰伦/费玉清	命中	千里之外	千里之外.txt	title 相等/包含
eval_set_cn_pop_100classics	月亮代表我的心	邓丽君	命中	月亮代表我的心	月亮代表我的心.txt	title 相等/包含
eval_set_cn_pop_100classics	狮子山下	罗文	命中	狮子山下遇上	狮子山下遇上.txt	title 相等/包含
eval_set_cn_pop_100classics	橄榄树	齐豫	命中	橄榄树	橄榄树.txt	title 相等/包含
eval_set_cn_pop_100classics	龙的传人	李建复	命中	龙的传人	龙的传人.txt	title 相等/包含
eval_set_cn_pop_100classics	上海滩	叶丽仪	命中	上海滩	上海滩.txt	title 相等/包含
eval_set_cn_pop_100classics	恰似你的温柔	蔡琴	命中	恰似你的温柔	恰似你的温柔.txt	title 相等/包含
eval_set_cn_pop_100classics	万里长城永不倒	叶振棠	库里没有			
eval_set_cn_pop_100classics	童年	张艾嘉	命中	童年	童年.txt	title 相等/包含
eval_set_cn_pop_100classics	万水千山总是情	汪明荃	命中	万水千山总是情	万水千山总是情.txt	title 相等/包含
eval_set_cn_pop_100classics	酒干倘卖无	苏芮	命中	酒干倘卖无	酒干倘卖无.txt	title 相等/包含
eval_set_cn_pop_100classics	风继续吹	张国荣	库里没有			
eval_set_cn_pop_100classics	我的中国心	张明敏	命中	我的中国心	我的中国心.txt	title 相等/包含
eval_set_cn_pop_100classics	爱在深秋	谭咏麟	命中	爱在深秋	爱在深秋.txt	title 相等/包含
eval_set_cn_pop_100classics	明天会更好	群星	命中	明天会更好	明天会更好.txt	title 相等/包含
