source	site	判定	http	备注	最终地址	原URL	页面标题	语料曲名
jianpucn-150657	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/15/150657.htm	http://www.jianpu.cn/pu/15/150657.htm	101 歌谱简谱网	101
jianpucn-448053	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/44/448053.htm	http://www.jianpu.cn/pu/44/448053.htm	17（网剧《极限17》） 毛不易 歌谱简谱网	17
jianpujia-315435	jianpujia	ok(曲名命中)	200		https://www.jianpujia.com/jianpu/315435.html	https://www.jianpujia.com/jianpu/315435.html	牧羊姑娘1=F4/4_深情悠扬地简谱_草原丁喜演唱_草原大哈/草原丁喜词曲-免费下载-简谱之家	牧羊姑娘
qupu123-300587	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p300587.html	https://www.qupu123.com/jipu/p300587.html	2002年的第一场雪 _房祖仁个人制谱园地_中国曲谱网	2002年的第一场雪
qupu123-257121	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/bazi/p257121.html	https://www.qupu123.com/tongsu/bazi/p257121.html	2022不见不散 _通俗曲谱_中国曲谱网	2022不见不散
jianpucn-234085	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/23/234085.htm	http://www.jianpu.cn/pu/23/234085.htm	Amani — （扫描版） 歌谱简谱网	Amani
qupu123-394947	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/jiuziyishang/p394947.html	https://www.qupu123.com/tongsu/jiuziyishang/p394947.html	2026年欢乐笑开颜 _天恩原创曲谱专栏_中国曲谱网	2026年欢乐笑开颜
qupu123-313063	qupu123	ok(曲名命中)	200		https://www.qupu123.com/meisheng/liuzi/p313063.html	https://www.qupu123.com/meisheng/liuzi/p313063.html	26 铺开一片蔚蓝（双谱） _美声曲谱_中国曲谱网	26_铺开一片蔚蓝
jianpucn-64785	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/64/64785.htm	http://www.jianpu.cn/pu/64/64785.htm	ANDY 歌曲类 简谱 歌谱简谱网	ANDY 歌曲类
jianpucn-61257	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/61/61257.htm	http://www.jianpu.cn/pu/61/61257.htm	ASK 歌谱简谱网	ASK
qupu123-359349	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p359349.html	https://www.qupu123.com/jipu/p359349.html	49-03-Overjoyed -C- 固定调 （SMOOTH JAZZ - The Best of Harmonica）_望一望个人制谱园地_中国曲谱网	49-03-Overjoyed -C- 固定调
jianpucn-234441	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/23/234441.htm	http://www.jianpu.cn/pu/23/234441.htm	A I N Y（爱你） 邓紫棋 歌谱简谱网	A I N Y
qupu123-360948	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p360948.html	https://www.qupu123.com/jipu/p360948.html	49-07-Yesterday -F- 首调简谱 （SMOOTH JAZZ - The Best of Harmonica）_望一望个人制谱园地_中国曲谱网	49-07-Yesterday -F- 首调
jianpucn-50291	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/50/50291.htm	http://www.jianpu.cn/pu/50/50291.htm	A Mour 歌谱简谱网	A Mour
qupu123-360774	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p360774.html	https://www.qupu123.com/jipu/p360774.html	49-39-Hey Jude -F- 首调简谱 （SMOOTH JAZZ - The Best of Harmonica）_望一望个人制谱园地_中国曲谱网	49-39-Hey Jude -F- 首调
qupu123-353273	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p353273.html	https://www.qupu123.com/jipu/p353273.html	Amazing grace （奇异恩典）_心动吉他个人制谱园地_中国曲谱网	Amazing grace
jianpucn-266349	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/26/266349.htm	http://www.jianpu.cn/pu/26/266349.htm	Always Online 林俊杰 歌谱简谱网	Always Online
jianpucn-263414	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/26/263414.htm	http://www.jianpu.cn/pu/26/263414.htm	Amammani BEYOND 歌谱简谱网	Amammani
jianpucn-60926	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/60/60926.htm	http://www.jianpu.cn/pu/60/60926.htm	Angel 歌谱简谱网	Angel
qupu123-378214	qupu123	ok(曲名命中)	200		https://www.qupu123.com/waiguo/jiuziyishang/p378214.html	https://www.qupu123.com/waiguo/jiuziyishang/p378214.html	Because of You _外国曲谱_中国曲谱网	Because_of_You
jianpucn-167946	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/16/167946.htm	http://www.jianpu.cn/pu/16/167946.htm	BEYOND-我是愤怒 歌谱简谱网	BEYOND-我是愤怒
jianpujia-149796	jianpujia	ok(曲名命中)	200		https://www.jianpujia.com/jianpu/149796.html	https://www.jianpujia.com/jianpu/149796.html	Beyond_My_Beloved_Horizon钢琴简谱_Hans_Zimmer&amp;Klaus_Badelt演唱-免费下载-简谱之家	Beyond_My_Beloved_Horizon钢琴
jianpucn-64782	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/64/64782.htm	http://www.jianpu.cn/pu/64/64782.htm	Better man 歌曲类 简谱 歌谱简谱网	Better man 歌曲类
jianpucn-64783	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/64/64783.htm	http://www.jianpu.cn/pu/64/64783.htm	Beautiful 歌曲类 简谱 歌谱简谱网	Beautiful 歌曲类
jianpucn-109480	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/10/109480.htm	http://www.jianpu.cn/pu/10/109480.htm	Black欧谱斯 歌谱简谱网	Black欧谱斯
jianpujia-150279	jianpujia	ok(曲名命中)	200		https://www.jianpujia.com/jianpu/150279.html	https://www.jianpujia.com/jianpu/150279.html	Beyond_Rangoon_Waters_of_Irrawaddy钢琴简谱_马克西姆演唱-免费下载-简谱之家	Beyond_Rangoon_Waters_of_Irrawaddy钢琴
jianpucn-64781	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/64/64781.htm	http://www.jianpu.cn/pu/64/64781.htm	COLORFUL DAYS 歌曲类 简谱 歌谱简谱网	COLORFUL DAYS 歌曲类
jianpucn-256294	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/25/256294.htm	http://www.jianpu.cn/pu/25/256294.htm	DFP(再来一次) 周杰伦 歌谱简谱网	DFP
qupu123-375493	qupu123	ok(曲名命中)	200		https://www.qupu123.com/waiguo/waiwen/p375493.html	https://www.qupu123.com/waiguo/waiwen/p375493.html	Blue Berry Hill 鸟饭树山 （蓝莓山）_外国曲谱_中国曲谱网	Blue_Berry_Hill_鸟饭树山
jianpujia-152297	jianpujia	ok(曲名命中)	200		https://www.jianpujia.com/jianpu/152297.html	https://www.jianpujia.com/jianpu/152297.html	Beyond_The_Sky钢琴简谱_未知演唱-免费下载-简谱之家	Beyond_The_Sky钢琴
jianpujia-377790	jianpujia	ok(曲名命中)	200		https://www.jianpujia.com/jianpu/377790.html	https://www.jianpujia.com/jianpu/377790.html	Falling_in_Love简谱_许嵩演唱_桃李醉春风制作曲谱-免费下载-简谱之家	Falling_in_Love
jianpucn-60736	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/60/60736.htm	http://www.jianpu.cn/pu/60/60736.htm	Flying To The Moon（英文儿童歌） 歌谱简谱网	Flying To The Moon
qupu123-313276	qupu123	ok(曲名命中)	200		https://www.qupu123.com/waiguo/waiwen/p313276.html	https://www.qupu123.com/waiguo/waiwen/p313276.html	Careless Whisper 无心耳语 _外国曲谱_中国曲谱网	Careless Whisper 无心耳语
jianpucn-64780	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/64/64780.htm	http://www.jianpu.cn/pu/64/64780.htm	Funny Face 歌曲类 简谱 歌谱简谱网	Funny Face 歌曲类
qupu123-346079	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p346079.html	https://www.qupu123.com/jipu/p346079.html	Dream of Genius Anoia （天才白痴梦）_望一望个人制谱园地_中国曲谱网	Dream of Genius Anoia
jianpucn-88257	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/88/88257.htm	http://www.jianpu.cn/pu/88/88257.htm	Happy Birthday 完美版 歌谱简谱网	Happy Birthday 完美版
qupu123-340045	qupu123	ok(曲名命中)	200		https://www.qupu123.com/puyou/shangchuan/p340045.html	https://www.qupu123.com/puyou/shangchuan/p340045.html	El Condor Pasa （排箫）_望一望个人制谱园地_中国曲谱网	El Condor Pasa
jianpucn-61281	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/61/61281.htm	http://www.jianpu.cn/pu/61/61281.htm	Here We are 歌谱简谱网	Here We are
qupu123-47996	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p47996.html	https://www.qupu123.com/jipu/p47996.html	God is a girl简谱（上帝是个女孩）_桃李醉春风个人制谱园地_中国曲谱网	God is a girl
jianpucn-60439	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/60/60439.htm	http://www.jianpu.cn/pu/60/60439.htm	Hey!Lover 歌谱简谱网	Hey!Lover
qupu123-118571	qupu123	ok(曲名命中)	200		https://www.qupu123.com/tongsu/jiuziyishang/p118571.html	https://www.qupu123.com/tongsu/jiuziyishang/p118571.html	Happy Birthday _通俗曲谱_中国曲谱网	Happy Birthday
jianpucn-58775	jianpucn	ok(曲名命中)	200		http://www.jianpu.cn/pu/58/58775.htm	http://www.jianpu.cn/pu/58/58775.htm	Hey Hah 歌谱简谱网	Hey Hah
qupu123-318427	qupu123	ok(曲名命中)	200		https://www.qupu123.com/jipu/p318427.html	https://www.qupu123.com/jipu/p318427.html	Danny Boy （小野丽莎演唱版）_洞箫横吹个人制谱园地_中国曲谱网	Danny Boy
