%最伟大的作品.txt
% 出处 https://www.jianpujia.com/
title=最伟大的作品
tag=周杰伦
usertag=周杰伦
tagroute=
transcriber=jianpu2-auto
status=ocr
source=jianpujia-385873
%--
4/4
subtitle=score
1 - - - 1 1 x' 1 1' x x' qx - - 0 qx x. x' - - - - - - - - - - - - - - - - - - - - - -
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 3. 2 7 0 1 7 3
2. 3 1 0 1 7 1 3. 2 6 0 3 1. 7 6 - 0 3 6 3 3. 2 4 0 3 6 2 2. 1 3 0 3 6 1 - - - - - -
- - - - - - - - - - - - - - - - - 1. 7 2 0 3 4 1 1. 2 7 - 7 1 5 4 3 3. 2 7 0 1 7 3
2. 3 1 0 1 7 1 3. 2 6 0 3 1. 7 6 - - - - - - - - - - - - - - - - - - - - - - - - 0
3 2 3 2 3 2 3 3 2 3 2 3 2 3 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 3 2 3 2 3 2 3 3 2 3 2
3 2 - - - - - - - - - - - - - - - - - - - - - - - - 3 3 2 3 2 3 2 3 2 3 2 2 3 2
3 2 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 - - - - - -
- - - - - - - - - - - - - - - - - - - 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 0 3 3 3 3 3 3 3 3 5 3 - - - - - - - - - - - - -
- - - - - - - - - - - - - - - - - - - - - - - -
%END
